FECHA,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019/11,Islas Baleares/Illes Balears,237267,1819263,8.0
2019/11,Jaén,13006,150173,12.0
2019/11,La Rioja,11435,117102,10.0
2019/11,Las Palmas,621399,4611716,7.0
2019/11,León,13025,153915,12.0
2019/11,Lleida,36500,370692,10.0
2019/11,Lugo,8099,98414,12.0
2019/11,Madrid,569773,4183397,7.0
2019/11,Melilla,25936,245474,9.0
2019/11,Murcia,80883,966985,12.0
2019/11,Málaga,332446,2780030,8.0
2019/11,Navarra,55918,520959,9.0
2019/11,Ourense,26657,293200,11.0
2019/11,Palencia,10120,91529,9.0
2019/11,Pontevedra,48576,480568,10.0
2019/11,Salamanca,38525,390472,10.0
2019/11,Santa Cruz de Tenerife,429271,3240965,8.0
2019/11,Segovia,9306,86212,9.0
2019/11,Sevilla,114174,783132,7.0
2019/11,Soria,7650,65062,9.0
2019/11,Tarragona,73239,600315,8.0
2019/11,Teruel,7677,71406,9.0
2019/11,Toledo,23126,220400,10.0
2019/11,Valencia/València,170367,1408811,8.0
2019/11,Valladolid,19509,198890,10.0
2019/11,Zamora,19017,207245,11.0
2019/11,Zaragoza,43417,426649,10.0
2019/11,Álava/Araba,23646,237982,10.0
2019/11,Ávila,5237,52350,10.0
2019/12,A Coruña,32783,367028,11.0
2019/12,Albacete,12467,150031,12.0
2019/12,Alicante/Alacant,230622,2337384,10.0
2019/12,Almería,44865,550604,12.0
2019/12,Asturias,24880,305511,12.0
2019/12,Badajoz,39191,485092,12.0
2019/12,Barcelona,633300,4342541,7.0
2019/12,Bizkaia,34802,336481,10.0
2019/12,Burgos,30166,236609,8.0
2019/12,Cantabria,18757,231423,12.0
2019/12,Castellón/Castelló,37588,396724,11.0
2019/12,Ceuta,26258,238183,9.0
2019/12,Ciudad Real,11890,141273,12.0
2019/12,Cuenca,8457,97151,11.0
2019/12,Cáceres,19676,200305,10.0
2019/12,Cádiz,106613,857956,8.0
2019/12,Córdoba,19696,210403,11.0
2019/12,Gerona/Girona,155904,1331846,9.0
2019/12,Granada,59354,515419,9.0
2019/12,Guadalajara,15962,154013,10.0
2019/12,Guipúzcoa/Gipuzkoa,109305,945596,9.0
2019/12,Huelva,30511,324426,11.0
2019/12,Huesca,17127,143026,8.0
2019/12,Islas Baleares/Illes Balears,133968,1091477,8.0
2019/12,Jaén,14960,193244,13.0
2019/12,La Rioja,10996,125961,11.0
2019/12,Las Palmas,579414,4419780,8.0
2019/12,León,13168,150801,11.0
2019/12,Lleida,39200,363834,9.0
2019/12,Lugo,8151,101205,12.0
2019/12,Madrid,512793,4076911,8.0
2019/12,Melilla,25576,259711,10.0
2019/12,Murcia,70279,895693,13.0
2019/12,Málaga,241912,2147727,9.0
2019/12,Navarra,49490,534666,11.0
2019/12,Ourense,29429,303548,10.0
2019/12,Palencia,11305,94932,8.0
2019/12,Pontevedra,53831,533898,10.0
2019/12,Salamanca,37277,395344,11.0
2019/12,Santa Cruz de Tenerife,421533,3346312,8.0
2019/12,Segovia,9284,92272,10.0
2019/12,Sevilla,86825,693016,8.0
2019/12,Soria,7685,70453,9.0
2019/12,Tarragona,52900,491863,9.0
2019/12,Teruel,7660,78035,10.0
2019/12,Toledo,22926,230552,10.0
2019/12,Valencia/València,139189,1321166,9.0
2019/12,Valladolid,20890,226081,11.0
2019/12,Zamora,20233,198510,10.0
2019/12,Zaragoza,39911,430999,11.0
2019/12,Álava/Araba,27510,300416,11.0
2019/12,Ávila,5253,54704,10.0
2020/01,A Coruña,35900,401817,11.0
2020/01,Albacete,13465,171612,13.0
2020/01,Alicante/Alacant,273444,2713796,10.0
2020/01,Almería,49291,593210,12.0
2020/01,Asturias,28565,347747,12.0
2020/01,Badajoz,37505,456694,12.0
2020/01,Barcelona,715750,4624283,6.0
2020/01,Bizkaia,38709,359765,9.0
2020/01,Burgos,28312,211697,7.0
2020/01,Cantabria,21096,233997,11.0
2020/01,Castellón/Castelló,41252,434610,11.0
2020/01,Ceuta,25783,224783,9.0
2020/01,Ciudad Real,12554,153642,12.0
2020/01,Cuenca,8546,105908,12.0
2020/01,Cáceres,19877,206938,10.0
2020/01,Cádiz,115064,944037,8.0
2020/01,Córdoba,22182,252474,11.0
2020/01,Gerona/Girona,188304,1434892,8.0
2020/01,Granada,73462,617509,8.0
2020/01,Guadalajara,15529,157797,10.0
2020/01,Guipúzcoa/Gipuzkoa,96500,748155,8.0
2020/01,Huelva,33256,330044,10.0
2020/01,Huesca,19062,150810,8.0
2020/01,Islas Baleares/Illes Balears,155714,1284486,8.0
2020/01,Jaén,16133,234603,15.0
2020/01,La Rioja,11581,133086,11.0
2020/01,Las Palmas,595830,4815216,8.0
2020/01,León,13885,167222,12.0
2020/01,Lleida,46744,403976,9.0
2020/01,Lugo,8391,110773,13.0
2020/01,Madrid,530136,4281177,8.0
2020/01,Melilla,26792,251837,9.0
2020/01,Murcia,79648,978379,12.0
2020/01,Málaga,297618,2573191,9.0
2020/01,Navarra,47782,439640,9.0
2020/01,Ourense,28355,287582,10.0
2020/01,Palencia,11374,92496,8.0
2020/01,Pontevedra,53020,548410,10.0
2020/01,Salamanca,36107,301168,8.0
2020/01,Santa Cruz de Tenerife,437974,3763163,9.0
2020/01,Segovia,9149,91467,10.0
2020/01,Sevilla,106792,840149,8.0
2020/01,Soria,7279,60158,8.0
